Fern 0: 0.13, 0.08, 0.34, 0.2, 0.32, 0.2, 0.12, 0.21, 1.62, 0.47, 0.69, 0.05, -0.01, 0.85, 1.6
Fern 1: 0.23, 0.06, 0.31, 0.26, 0.28, 0.32, 0.21, 0.19, 1.69, 0.51, 0.75, 0.07, 0, 0.85, 1.6
Fern 2: 0.1, 0.22, 0.31, 0.25, 0.29, 0.26, 0.26, 0.25, 1.64, 0.35, 0.79, 0.05, 0, 0.85, 1.6
Fern 3: 0.16, 0.11, 0.31, 0.35, 0.3, 0.19, 0.31, 0.18, 1.59, 0.47, 0.84, 0.03, 0.01, 0.85, 1.6
Fern 4: 0.23, 0.2, 0.32, 0.34, 0.19, 0.25, 0.16, 0.24, 1.54, 0.51, 0.88, 0.01, 0.01, 0.85, 1.6
Fern 5: 0.29, 0.17, 0.32, 0.24, 0.2, 0.18, 0.21, 0.29, 1.5, 0.34, 0.92, -0.01, 0.03, 0.85, 1.6
Fern 6: 0.16, 0.06, 0.25, 0.23, 0.21, 0.32, 0.18, 0.15, 1.65, 0.46, 0.96, 0.08, 0.03, 0.85, 1.6
Fern 7: 0.22, 0.22, 0.25, 0.22, 0.3, 0.25, 0.23, 0.2, 1.6, 0.5, 1, 0.06, 0.02, 0.85, 1.6
Fern 8: 0.12, 0.2, 0.29, 0.28, 0.26, 0.37, 0.2, 0.26, 1.59, 0.34, 1.07, 0.08, 0.03, 0.85, 1.6
Fern 9: 0.22, 0.17, 0.26, 0.22, 0.22, 0.18, 0.17, 0.24, 1.66, 0.5, 0.63, 0, 0.04, 0.85, 1.6
Fern 10: 0.15, 0.14, 0.27, 0.31, 0.32, 0.24, 0.19, 0.15, 1.56, 0.45, 0.71, 0.06, 0.05, 0.85, 1.6
Fern 11: 0.28, 0.2, 0.27, 0.2, 0.15, 0.23, 0.29, 0.26, 1.66, 0.41, 0.8, 0.02, 0.07, 0.85, 1.6
Fern 12: 0.14, 0.09, 0.28, 0.19, 0.24, 0.37, 0.14, 0.2, 1.61, 0.45, 0.84, 0, 0.06, 0.85, 1.6
Fern 13: 0.24, 0.06, 0.24, 0.33, 0.19, 0.29, 0.23, 0.18, 1.6, 0.49, 0.9, 0.02, 0.07, 0.85, 1.6
Fern 14: 0.11, 0.23, 0.24, 0.23, 0.21, 0.23, 0.28, 0.23, 1.55, 0.53, 0.94, 0.01, 0.07, 0.85, 1.6
Fern 15: 0.21, 0.2, 0.21, 0.17, 0.16, 0.23, 0.26, 0.22, 1.62, 0.37, 1.01, 0.03, 0.07, 0.85, 1.6
Fern 16: 0.27, 0.09, 0.21, 0.28, 0.25, 0.36, 0.3, 0.15, 1.57, 0.4, 1.05, 0.01, -0.01, 0.85, 1.6
Fern 17: 0.17, 0.06, 0.26, 0.22, 0.21, 0.28, 0.28, 0.33, 1.56, 0.36, 0.61, 0.03, 0, 0.85, 1.6
Fern 18: 0.27, 0.23, 0.22, 0.16, 0.17, 0.29, 0.17, 0.31, 1.63, 0.4, 0.67, 0.05, 0, 0.85, 1.6
Fern 19: 0.17, 0.21, 0.19, 0.3, 0.13, 0.29, 0.15, 0.29, 1.62, 0.44, 0.74, 0.07, 0.01, 0.85, 1.6
